城市,出度,入度,度数,经度,纬度
渝中区,213,236,449,106.5392297,29.54908521
沙坪坝区,98,95,193,106.3684869,29.62456919
南岸区,94,80,174,106.6607826,29.53509925
江北区,53,51,104,106.707849,29.61344075
九龙坡区,40,37,77,106.3640591,29.42857639
成都市,38,32,70,103.9316933,30.65120719
大足区,16,15,31,105.7426862,29.64978162
乐山市,13,18,31,103.5711381,29.21250982
德阳市,12,12,24,104.4382707,31.12695838
綦江区,12,10,22,106.7226033,28.87821184
巴南区,3,8,11,106.7514977,29.37154731
渝北区,3,5,8,106.746744,29.80985233
北碚区,5,3,8,106.5140439,29.86079131
铜梁区,3,3,6,106.0331051,29.81108529
丰都县,4,2,6,107.8309532,29.88443138
大渡口区,3,3,6,106.458846,29.41752891
长寿区,3,2,5,107.1399724,29.95446381
南川区,3,2,5,107.1714125,29.13528438
眉山市,2,3,5,103.7548125,29.92418804
合川区,2,3,5,106.3117339,30.11234875
南充市,3,1,4,106.2072719,31.19346912
云阳县,1,3,4,108.717,31.097
万州区,2,2,4,108.4064117,30.70376936
江津区,2,1,3,106.2632018,29.02933829
绵阳市,1,2,3,105.01,31.432
雅安市,1,2,3,102.6645277,29.91057185
黔江区,2,1,3,108.7086215,29.43503249
泸州市,1,1,2,105.4439703,28.8959298
内江市,1,1,2,104.9139398,29.63813631
达州市,1,1,2,107.6485784,31.36365576
资阳市,1,1,2,105.118789,30.09793125
自贡市,1,1,2,104.6858498,29.28374458
潼南区,1,0,1,105.814469,30.14303771
荣昌区,0,1,1,105.5070099,29.46461003
宜宾市,0,1,1,104.6382682,28.57013595
永川区,1,0,1,105.8729285,29.28984469
涪陵区,0,1,1,107.3338132,29.65836036
忠县,1,0,1,107.9147032,30.33544467
